%DATA MadgeTech Data File                       
%FORMAT CSV                                     
%VERSION 2.02.00                                
%BEGIN

"[Device]"
"DeviceType","&H0126"
"4415","41180.1215277778","+0","0","","&B10000000","&B00000000"
"4416","41180.125","+0","0","","&B10000000","&B00000000"
"4417","41180.1284722222","+0","0","","&B10000000","&B00000000"
"4418","41180.1319444444","+0","0","","&B10000000","&B00000000"
"4419","41180.1354166667","+0","0","","&B10000000","&B00000000"
"4420","41180.1388888889","+0","0","","&B10000000","&B00000000"
"4421","41180.1423611111","+0","0","","&B10000000","&B00000000"
"4422","41180.1458333333","+0","0","","&B10000000","&B00000000"
"4423","41180.1493055556","+0","0","","&B10000000","&B00000000"
"4424","41180.1527777778","+0","0","","&B10000000","&B00000000"
"4425","41180.15625","+0","0","","&B10000000","&B00000000"
"4426","41180.1597222222","+0","0","","&B10000000","&B00000000"
"4427","41180.1631944444","+0","0","","&B10000000","&B00000000"
"4428","41180.1666666667","+0","0","","&B10000000","&B00000000"
"4429","41180.1701388889","+0","0","","&B10000000","&B00000000"
"4430","41180.1736111111","+0","0","","&B10000000","&B00000000"
"4431","41180.1770833333","+0","0","","&B10000000","&B00000000"
"4432","41180.1805555556","+0","0","","&B10000000","&B00000000"
"4433","41180.1840277778","+0","0","","&B10000000","&B00000000"
"4434","41180.1875","+0","0","","&B10000000","&B00000000"
"4435","41180.1909722222","+0","0","","&B10000000","&B00000000"
"4436","41180.1944444444","+0","0","","&B10000000","&B00000000"
"4437","41180.1979166667","+0","0","","&B10000000","&B00000000"
"4438","41180.2013888889","+0","0","","&B10000000","&B00000000"
"4439","41180.2048611111","+0","0","","&B10000000","&B00000000"
"4440","41180.2083333333","+0","0","","&B10000000","&B00000000"
"4441","41180.2118055556","+0","0","","&B10000000","&B00000000"
"4442","41180.2152777778","+0","0","","&B10000000","&B00000000"
"4443","41180.21875","+0","0","","&B10000000","&B00000000"
"4444","41180.2222222222","+0","0","","&B10000000","&B00000000"
"4445","41180.2256944444","+0","0","","&B10000000","&B00000000"
"4446","41180.2291666667","+0","0","","&B10000000","&B00000000"
"4447","41180.2326388889","+0","0","","&B10000000","&B00000000"
"4448","41180.2361111111","+0","0","","&B10000000","&B00000000"
"4449","41180.2395833333","-0.005","0","","&B10000000","&B00000000"
"4450","41180.2430555556","+0","0","","&B10000000","&B00000000"
"4451","41180.2465277778","+0","0","","&B10000000","&B00000000"
"4452","41180.25","+0","0","","&B10000000","&B00000000"
"4453","41180.2534722222","+0","0","","&B10000000","&B00000000"
"4454","41180.2569444444","+0","0","","&B10000000","&B00000000"
"4455","41180.2604166667","+0","0","","&B10000000","&B00000000"
"4456","41180.2638888889","+0","0","","&B10000000","&B00000000"
"4457","41180.2673611111","-0.005","0","","&B10000000","&B00000000"
"4458","41180.2708333333","+0","0","","&B10000000","&B00000000"
"4459","41180.2743055556","+0","0","","&B10000000","&B00000000"
"4460","41180.2777777778","+0","0","","&B10000000","&B00000000"
"4461","41180.28125","+0","0","","&B10000000","&B00000000"
"4462","41180.2847222222","+0","0","","&B10000000","&B00000000"
"4463","41180.2881944444","+0","0","","&B10000000","&B00000000"
"4464","41180.2916666667","+0","0","","&B10000000","&B00000000"
"4465","41180.2951388889","+0","0","","&B10000000","&B00000000"
"4466","41180.2986111111","+0","0","","&B10000000","&B00000000"
"4467","41180.3020833333","+0","0","","&B10000000","&B00000000"
"4468","41180.3055555556","+0","0","","&B10000000","&B00000000"
"4469","41180.3090277778","+0","0","","&B10000000","&B00000000"
"4470","41180.3125","+0","0","","&B10000000","&B00000000"
"4471","41180.3159722222","+0","0","","&B10000000","&B00000000"
"4472","41180.3194444444","+0","0","","&B10000000","&B00000000"
"4473","41180.3229166667","+0","0","","&B10000000","&B00000000"
"4474","41180.3263888889","+0","0","","&B10000000","&B00000000"
"4475","41180.3298611111","+0","0","","&B10000000","&B00000000"
"4476","41180.3333333333","+0","0","","&B10000000","&B00000000"
"4477","41180.3368055556","+0","0","","&B10000000","&B00000000"
"4478","41180.3402777778","+0","0","","&B10000000","&B00000000"
"4479","41180.34375","+0","0","","&B10000000","&B00000000"
"4480","41180.3472222222","+0","0","","&B10000000","&B00000000"
"4481","41180.3506944444","+0","0","","&B10000000","&B00000000"
"4482","41180.3541666667","+0","0","","&B10000000","&B00000000"
"4483","41180.3576388889","-0.005","0","","&B10000000","&B00000000"
"4484","41180.3611111111","+0","0","","&B10000000","&B00000000"
"4485","41180.3645833333","+0","0","","&B10000000","&B00000000"
"4486","41180.3680555556","+0","0","","&B10000000","&B00000000"
"4487","41180.3715277778","+0","0","","&B10000000","&B00000000"
"4488","41180.375","+0","0","","&B10000000","&B00000000"
"4489","41180.3784722222","+0","0","","&B10000000","&B00000000"
"4490","41180.3819444444","+0","0","","&B10000000","&B00000000"
"4491","41180.3854166667","+0","0","","&B10000000","&B00000000"
"4492","41180.3888888889","+0","0","","&B10000000","&B00000000"
"4493","41180.3923611111","+0","0","","&B10000000","&B00000000"
"4494","41180.3958333333","+0","0","","&B10000000","&B00000000"
"4495","41180.3993055556","+0","0","","&B10000000","&B00000000"
"4496","41180.4027777778","+0","0","","&B10000000","&B00000000"
"4497","41180.40625","+0","0","","&B10000000","&B00000000"
"4498","41180.4097222222","+0","0","","&B10000000","&B00000000"
"4499","41180.4131944444","+0","0","","&B10000000","&B00000000"
"4500","41180.4166666667","+0","0","","&B10000000","&B00000000"
"4501","41180.4201388889","+0","0","","&B10000000","&B00000000"
"4502","41180.4236111111","+0","0","","&B10000000","&B00000000"
"4503","41180.4270833333","+0","0","","&B10000000","&B00000000"
"4504","41180.4305555556","+0","0","","&B10000000","&B00000000"
"4505","41180.4340277778","+0","0","","&B10000000","&B00000000"
"4506","41180.4375","+0","0","","&B10000000","&B00000000"
"4507","41180.4409722222","+0","0","","&B10000000","&B00000000"
"4508","41180.4444444444","+0","0","","&B10000000","&B00000000"
"4509","41180.4479166667","+0","0","","&B10000000","&B00000000"
"4510","41180.4513888889","+0","0","","&B10000000","&B00000000"
"4511","41180.4548611111","+0","0","","&B10000000","&B00000000"
"4512","41180.4583333333","+0","0","","&B10000000","&B00000000"
"4513","41180.4618055556","+0","0","","&B10000000","&B00000000"
"4514","41180.4652777778","+0","0","","&B10000000","&B00000000"
"4515","41180.46875","+0","0","","&B10000000","&B00000000"
"4516","41180.4722222222","+0","0","","&B10000000","&B00000000"
"4517","41180.4756944444","+0","0","","&B10000000","&B00000000"
"4518","41180.4791666667","+0","0","","&B10000000","&B00000000"
"4519","41180.4826388889","+0","0","","&B10000000","&B00000000"
"4520","41180.4861111111","+0","0","","&B10000000","&B00000000"
"4521","41180.4895833333","+0","0","","&B10000000","&B00000000"
"4522","41180.4930555556","+0","0","","&B10000000","&B00000000"
"4523","41180.4965277778","+0","0","","&B10000000","&B00000000"
"4524","41180.5","+0","0","","&B10000000","&B00000000"
"4525","41180.5034722222","+0","0","","&B10000000","&B00000000"
"4526","41180.5069444444","+0","0","","&B10000000","&B00000000"
"4527","41180.5104166667","+0","0","","&B10000000","&B00000000"
"4528","41180.5138888889","+0","0","","&B10000000","&B00000000"
"4529","41180.5173611111","+0","0","","&B10000000","&B00000000"
"4530","41180.5208333333","+0","0","","&B10000000","&B00000000"
"4531","41180.5243055556","+0","0","","&B10000000","&B00000000"
"4532","41180.5277777778","+0","0","","&B10000000","&B00000000"
"4533","41180.53125","+0","0","","&B10000000","&B00000000"
"4534","41180.5347222222","+0","0","","&B10000000","&B00000000"
"4535","41180.5381944444","+0","0","","&B10000000","&B00000000"
"4536","41180.5416666667","+0","0","","&B10000000","&B00000000"
"4537","41180.5451388889","+0","0","","&B10000000","&B00000000"
"4538","41180.5486111111","+0","0","","&B10000000","&B00000000"
"4539","41180.5520833333","+0","0","","&B10000000","&B00000000"
"4540","41180.5555555556","+0","0","","&B10000000","&B00000000"
"4541","41180.5590277778","+0","0","","&B10000000","&B00000000"
"4542","41180.5625","+0","0","","&B10000000","&B00000000"
"4543","41180.5659722222","+0","0","","&B10000000","&B00000000"
"4544","41180.5694444444","+0","0","","&B10000000","&B00000000"
"4545","41180.5729166667","+0","0","","&B10000000","&B00000000"
"4546","41180.5763888889","+0","0","","&B10000000","&B00000000"
"4547","41180.5798611111","+0","0","","&B10000000","&B00000000"
"4548","41180.5833333333","+0","0","","&B10000000","&B00000000"
"4549","41180.5868055556","+0","0","","&B10000000","&B00000000"
"4550","41180.5902777778","+0","0","","&B10000000","&B00000000"
"4551","41180.59375","+0","0","","&B10000000","&B00000000"
"4552","41180.5972222222","+0","0","","&B10000000","&B00000000"
"4553","41180.6006944444","+0","0","","&B10000000","&B00000000"
"4554","41180.6041666667","+0","0","","&B10000000","&B00000000"
"4555","41180.6076388889","+0","0","","&B10000000","&B00000000"
"4556","41180.6111111111","+0","0","","&B10000000","&B00000000"
"4557","41180.6145833333","+0","0","","&B10000000","&B00000000"
"4558","41180.6180555556","+0","0","","&B10000000","&B00000000"
"4559","41180.6215277778","+0","0","","&B10000000","&B00000000"
"4560","41180.625","+0","0","","&B10000000","&B00000000"
"4561","41180.6284722222","+0","0","","&B10000000","&B00000000"
"4562","41180.6319444444","+0","0","","&B10000000","&B00000000"
"4563","41180.6354166667","+0","0","","&B10000000","&B00000000"
"4564","41180.6388888889","+0","0","","&B10000000","&B00000000"
"4565","41180.6423611111","+0","0","","&B10000000","&B00000000"
"4566","41180.6458333333","+0","0","","&B10000000","&B00000000"
"4567","41180.6493055556","+0","0","","&B10000000","&B00000000"
"4568","41180.6527777778","+0","0","","&B10000000","&B00000000"
"4569","41180.65625","+0","0","","&B10000000","&B00000000"
"4570","41180.6597222222","+0","0","","&B10000000","&B00000000"
"4571","41180.6631944444","+0","0","","&B10000000","&B00000000"
"4572","41180.6666666667","+0","0","","&B10000000","&B00000000"
"4573","41180.6701388889","+0","0","","&B10000000","&B00000000"
"4574","41180.6736111111","+0","0","","&B10000000","&B00000000"
"4575","41180.6770833333","+0","0","","&B10000000","&B00000000"
"4576","41180.6805555556","+0","0","","&B10000000","&B00000000"
"4577","41180.6840277778","+0","0","","&B10000000","&B00000000"
"4578","41180.6875","+0","0","","&B10000000","&B00000000"
"4579","41180.6909722222","+0","0","","&B10000000","&B00000000"
"4580","41180.6944444444","+0","0","","&B10000000","&B00000000"
"4581","41180.6979166667","+0","0","","&B10000000","&B00000000"
"4582","41180.7013888889","+0","0","","&B10000000","&B00000000"
"4583","41180.7048611111","+0","0","","&B10000000","&B00000000"
"4584","41180.7083333333","+0","0","","&B10000000","&B00000000"
"4585","41180.7118055556","+0","0","","&B10000000","&B00000000"
"4586","41180.7152777778","+0","0","","&B10000000","&B00000000"
"4587","41180.71875","+0","0","","&B10000000","&B00000000"
"4588","41180.7222222222","+0","0","","&B10000000","&B00000000"
"4589","41180.7256944444","+0","0","","&B10000000","&B00000000"
"4590","41180.7291666667","+0","0","","&B10000000","&B00000000"
"4591","41180.7326388889","+0","0","","&B10000000","&B00000000"
"4592","41180.7361111111","+0","0","","&B10000000","&B00000000"
"4593","41180.7395833333","+0","0","","&B10000000","&B00000000"
"4594","41180.7430555556","+0","0","","&B10000000","&B00000000"
"4595","41180.7465277778","+0","0","","&B10000000","&B00000000"
"4596","41180.75","+0","0","","&B10000000","&B00000000"
"4597","41180.7534722222","+0","0","","&B10000000","&B00000000"
"4598","41180.7569444444","+0","0","","&B10000000","&B00000000"
"4599","41180.7604166667","+0","0","","&B10000000","&B00000000"
"4600","41180.7638888889","+0","0","","&B10000000","&B00000000"
"4601","41180.7673611111","+0","0","","&B10000000","&B00000000"
"4602","41180.7708333333","+0","0","","&B10000000","&B00000000"
"4603","41180.7743055556","+0","0","","&B10000000","&B00000000"
"4604","41180.7777777778","+0","0","","&B10000000","&B00000000"
"4605","41180.78125","+0","0","","&B10000000","&B00000000"
"4606","41180.7847222222","+0","0","","&B10000000","&B00000000"
"4607","41180.7881944444","+0","0","","&B10000000","&B00000000"
"4608","41180.7916666667","+0","0","","&B10000000","&B00000000"
"4609","41180.7951388889","+0","0","","&B10000000","&B00000000"
"4610","41180.7986111111","+0","0","","&B10000000","&B00000000"
"4611","41180.8020833333","+0","0","","&B10000000","&B00000000"
"4612","41180.8055555556","-0.005","0","","&B10000000","&B00000000"
"4613","41180.8090277778","+0","0","","&B10000000","&B00000000"
"4614","41180.8125","+0","0","","&B10000000","&B00000000"
"4615","41180.8159722222","+0","0","","&B10000000","&B00000000"
"4616","41180.8194444444","+0","0","","&B10000000","&B00000000"
"4617","41180.8229166667","+0","0","","&B10000000","&B00000000"
"4618","41180.8263888889","+0","0","","&B10000000","&B00000000"
"4619","41180.8298611111","+0","0","","&B10000000","&B00000000"
"4620","41180.8333333333","+0","0","","&B10000000","&B00000000"
"4621","41180.8368055556","+0","0","","&B10000000","&B00000000"
"4622","41180.8402777778","+0","0","","&B10000000","&B00000000"
"4623","41180.84375","+0","0","","&B10000000","&B00000000"
"4624","41180.8472222222","+0","0","","&B10000000","&B00000000"
"4625","41180.8506944444","+0","0","","&B10000000","&B00000000"
"4626","41180.8541666667","+0","0","","&B10000000","&B00000000"
"4627","41180.8576388889","+0","0","","&B10000000","&B00000000"
"4628","41180.8611111111","+0","0","","&B10000000","&B00000000"
"4629","41180.8645833333","+0","0","","&B10000000","&B00000000"
"4630","41180.8680555556","+0","0","","&B10000000","&B00000000"
"4631","41180.8715277778","+0","0","","&B10000000","&B00000000"
"4632","41180.875","+0","0","","&B10000000","&B00000000"
"4633","41180.8784722222","+0","0","","&B10000000","&B00000000"
"4634","41180.8819444444","+0","0","","&B10000000","&B00000000"
"4635","41180.8854166667","+0","0","","&B10000000","&B00000000"
"4636","41180.8888888889","+0","0","","&B10000000","&B00000000"
"4637","41180.8923611111","+0","0","","&B10000000","&B00000000"
"4638","41180.8958333333","+0","0","","&B10000000","&B00000000"
"4639","41180.8993055556","+0","0","","&B10000000","&B00000000"
"4640","41180.9027777778","+0","0","","&B10000000","&B00000000"
"4641","41180.90625","+0","0","","&B10000000","&B00000000"
"4642","41180.9097222222","+0","0","","&B10000000","&B00000000"
"4643","41180.9131944444","+0","0","","&B10000000","&B00000000"
"4644","41180.9166666667","+0","0","","&B10000000","&B00000000"
"4645","41180.9201388889","+0","0","","&B10000000","&B00000000"
"4646","41180.9236111111","+0","0","","&B10000000","&B00000000"
"4647","41180.9270833333","+0","0","","&B10000000","&B00000000"
"4648","41180.9305555556","+0","0","","&B10000000","&B00000000"
"4649","41180.9340277778","+0","0","","&B10000000","&B00000000"
"4650","41180.9375","+0","0","","&B10000000","&B00000000"
"4651","41180.9409722222","+0","0","","&B10000000","&B00000000"
"4652","41180.9444444444","+0","0","","&B10000000","&B00000000"
"4653","41180.9479166667","+0","0","","&B10000000","&B00000000"
"4654","41180.9513888889","+0","0","","&B10000000","&B00000000"
"4655","41180.9548611111","+0","0","","&B10000000","&B00000000"
"4656","41180.9583333333","+0","0","","&B10000000","&B00000000"
"4657","41180.9618055556","+0","0","","&B10000000","&B00000000"
"4658","41180.9652777778","+0","0","","&B10000000","&B00000000"
"4659","41180.96875","+0","0","","&B10000000","&B00000000"
"4660","41180.9722222222","+0","0","","&B10000000","&B00000000"
"4661","41180.9756944444","-0.005","0","","&B10000000","&B00000000"
"4662","41180.9791666667","+0","0","","&B10000000","&B00000000"
"4663","41180.9826388889","+0","0","","&B10000000","&B00000000"
"4664","41180.9861111111","+0","0","","&B10000000","&B00000000"
"4665","41180.9895833333","+0","0","","&B10000000","&B00000000"
"4666","41180.9930555556","+0","0","","&B10000000","&B00000000"
"4667","41180.9965277778","+0","0","","&B10000000","&B00000000"
"4668","41181","+0","0","","&B10000000","&B00000000"
"4669","41181.0034722222","+0","0","","&B10000000","&B00000000"
"4670","41181.0069444444","+0","0","","&B10000000","&B00000000"
"4671","41181.0104166667","+0","0","","&B10000000","&B00000000"
"4672","41181.0138888889","+0","0","","&B10000000","&B00000000"
